tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,_gold_intent
100000,cust5506,True,Fri Mar 01 09:00:00 +0000 2024,@AmazonHelp my order 877572 was supposed to arrive yesterday and it's still not here.,100001,,delivery_delay
100001,115911,False,Fri Mar 01 10:10:00 +0000 2024,We're sorry your delivery is delayed. Could you DM us the order number so we can escalate with the carrier and get you an updated ETA? ^CD,,100000,delivery_delay
100002,cust2679,True,Fri Mar 01 09:17:00 +0000 2024,"@AmazonHelp I returned item from order 872246 two weeks ago, still no refund.",100003,,refund_request
100003,115911,False,Fri Mar 01 12:18:00 +0000 2024,Sorry for the delay on your refund. Refunds typically take 3-5 business days once processed. Please DM your order number so we can check the status. ^GH,,100002,refund_request
100004,cust7912,True,Fri Mar 01 09:34:00 +0000 2024,@AmazonHelp why did the price of my item drop $20 right after I bought it (719176)?,100005,,price_complaint
100005,115911,False,Fri Mar 01 09:50:00 +0000 2024,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,,100004,price_complaint
100006,cust4811,True,Fri Mar 01 09:51:00 +0000 2024,Hi @AmazonHelp where is my order #329258? Been waiting 6 days now.,100007,,where_is_my_order
100007,115911,False,Fri Mar 01 12:08:00 +0000 2024,"Hi, sorry for the wait! Please send us your order number via DM so we can check the latest tracking status for you. ^AB",,100006,where_is_my_order
100008,cust4257,True,Fri Mar 01 10:08:00 +0000 2024,"Just want to say @AmazonHelp support fixed my issue with order 688508 super fast, thank you!",100009,,general_praise
100009,115911,False,Fri Mar 01 13:19:00 +0000 2024,"Thank you so much for the kind words, glad we could help! 😊 ^ST",,100008,general_praise
100010,cust8359,True,Fri Mar 01 10:25:00 +0000 2024,@AmazonHelp not okay that 331148 was cheaper for Prime members and I wasn't told.,100011,,price_complaint
100011,115911,False,Fri Mar 01 13:03:00 +0000 2024,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,,100010,price_complaint
100012,cust3615,True,Fri Mar 01 10:42:00 +0000 2024,"@AmazonHelp I need to cancel order 895667 immediately, ordered by mistake.",100013,,order_cancel
100013,115911,False,Fri Mar 01 13:48:00 +0000 2024,We can help with that. Please DM your order number right away — if it hasn't shipped yet we can cancel it for you. ^IJ,,100012,order_cancel
100014,cust3547,True,Fri Mar 01 10:59:00 +0000 2024,"Product from 391369 stopped working after 2 days, @AmazonHelp this is unacceptable.",100015,,product_defect
100015,115911,False,Fri Mar 01 12:02:00 +0000 2024,"We're sorry to hear that. Please DM your order number and a photo if possible, and we'll get a replacement sent out. ^MN",,100014,product_defect
100016,cust7224,True,Fri Mar 01 11:16:00 +0000 2024,"@AmazonHelp I can't log into my account, keeps saying invalid password even after reset.",100017,,login_account_issue
100017,115911,False,Fri Mar 01 11:48:00 +0000 2024,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,,100016,login_account_issue
100018,cust5333,True,Fri Mar 01 11:33:00 +0000 2024,"@AmazonHelp locked out of my account for no reason, need help asap.",100019,,login_account_issue
100019,115911,False,Fri Mar 01 15:07:00 +0000 2024,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,,100018,login_account_issue
100020,cust9785,True,Fri Mar 01 11:50:00 +0000 2024,"Still no sign of my package, order 581741. @AmazonHelp any update?",100021,,where_is_my_order
100021,115911,False,Fri Mar 01 12:29:00 +0000 2024,"Hi, sorry for the wait! Please send us your order number via DM so we can check the latest tracking status for you. ^AB",,100020,where_is_my_order
100022,cust5803,True,Fri Mar 01 12:07:00 +0000 2024,@AmazonHelp the item from order 678856 arrived broken/defective.,100023,,product_defect
100023,115911,False,Fri Mar 01 15:47:00 +0000 2024,"We're sorry to hear that. Please DM your order number and a photo if possible, and we'll get a replacement sent out. ^MN",,100022,product_defect
100024,cust4150,True,Fri Mar 01 12:24:00 +0000 2024,"@AmazonHelp great service today, appreciate the quick help.",100025,,general_praise
100025,115911,False,Fri Mar 01 15:32:00 +0000 2024,"Thank you so much for the kind words, glad we could help! 😊 ^ST",,100024,general_praise
100026,cust4733,True,Fri Mar 01 12:41:00 +0000 2024,@AmazonHelp my order 793384 was supposed to arrive yesterday and it's still not here.,100027,,delivery_delay
100027,115911,False,Fri Mar 01 16:06:00 +0000 2024,We're sorry your delivery is delayed. Could you DM us the order number so we can escalate with the carrier and get you an updated ETA? ^CD,,100026,delivery_delay
100028,cust4814,True,Fri Mar 01 12:58:00 +0000 2024,"@AmazonHelp I need to cancel order 996865 immediately, ordered by mistake.",100029,,order_cancel
100029,115911,False,Fri Mar 01 16:47:00 +0000 2024,We can help with that. Please DM your order number right away — if it hasn't shipped yet we can cancel it for you. ^IJ,,100028,order_cancel
100030,cust8428,True,Fri Mar 01 13:15:00 +0000 2024,This is the second time my delivery for 391476 has been delayed. @AmazonHelp not happy.,100031,,delivery_delay
100031,115911,False,Fri Mar 01 16:05:00 +0000 2024,We're sorry your delivery is delayed. Could you DM us the order number so we can escalate with the carrier and get you an updated ETA? ^CD,,100030,delivery_delay
100032,cust6820,True,Fri Mar 01 13:32:00 +0000 2024,"@AmazonHelp I can't log into my account, keeps saying invalid password even after reset.",100033,,login_account_issue
100033,115911,False,Fri Mar 01 14:33:00 +0000 2024,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,,100032,login_account_issue
100034,cust2169,True,Fri Mar 01 13:49:00 +0000 2024,"@AmazonHelp please cancel order 816751, found it cheaper elsewhere.",100035,,order_cancel
100035,115911,False,Fri Mar 01 16:32:00 +0000 2024,We can help with that. Please DM your order number right away — if it hasn't shipped yet we can cancel it for you. ^IJ,,100034,order_cancel
100036,cust5010,True,Fri Mar 01 14:06:00 +0000 2024,@AmazonHelp order 864544 arrived but it's not what I ordered at all.,100037,,wrong_item
100037,115911,False,Fri Mar 01 14:55:00 +0000 2024,"That's definitely not right, we apologize. Please DM your order number and we'll arrange a free replacement or refund right away. ^EF",,100036,wrong_item
100038,cust4598,True,Fri Mar 01 14:23:00 +0000 2024,@AmazonHelp payment failed but money was deducted for 383060.,100039,,payment_issue
100039,115911,False,Fri Mar 01 17:26:00 +0000 2024,Sorry about that! Please DM your order number so we can review the charges and issue a correction if needed. ^OP,,100038,payment_issue
100040,cust1525,True,Fri Mar 01 14:40:00 +0000 2024,"@AmazonHelp I can't log into my account, keeps saying invalid password even after reset.",100041,,login_account_issue
100041,115911,False,Fri Mar 01 18:14:00 +0000 2024,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,,100040,login_account_issue
100042,cust2084,True,Fri Mar 01 14:57:00 +0000 2024,"@AmazonHelp locked out of my account for no reason, need help asap.",100043,,login_account_issue
100043,115911,False,Fri Mar 01 15:59:00 +0000 2024,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,,100042,login_account_issue
100044,cust9179,True,Fri Mar 01 15:14:00 +0000 2024,"@AmazonHelp great service today, appreciate the quick help.",100045,,general_praise
100045,115911,False,Fri Mar 01 17:03:00 +0000 2024,"Thank you so much for the kind words, glad we could help! 😊 ^ST",,100044,general_praise
100046,cust3287,True,Fri Mar 01 15:31:00 +0000 2024,"@AmazonHelp I was charged twice for order 377746, please fix this.",100047,,payment_issue
100047,115911,False,Fri Mar 01 16:42:00 +0000 2024,Sorry about that! Please DM your order number so we can review the charges and issue a correction if needed. ^OP,,100046,payment_issue
100048,cust8019,True,Fri Mar 01 15:48:00 +0000 2024,@AmazonHelp not okay that 883300 was cheaper for Prime members and I wasn't told.,100049,,price_complaint
100049,115911,False,Fri Mar 01 19:45:00 +0000 2024,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,,100048,price_complaint
100050,cust4593,True,Fri Mar 01 16:05:00 +0000 2024,"@AmazonHelp great service today, appreciate the quick help.",100051,,general_praise
100051,115911,False,Fri Mar 01 16:48:00 +0000 2024,"Thank you so much for the kind words, glad we could help! 😊 ^ST",,100050,general_praise
100052,cust1771,True,Fri Mar 01 16:22:00 +0000 2024,@AmazonHelp not okay that 195325 was cheaper for Prime members and I wasn't told.,100053,,price_complaint
100053,115911,False,Fri Mar 01 20:10:00 +0000 2024,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,,100052,price_complaint
100054,cust3621,True,Fri Mar 01 16:39:00 +0000 2024,@AmazonHelp my order 757924 was supposed to arrive yesterday and it's still not here.,100055,,delivery_delay
100055,115911,False,Fri Mar 01 20:09:00 +0000 2024,We're sorry your delivery is delayed. Could you DM us the order number so we can escalate with the carrier and get you an updated ETA? ^CD,,100054,delivery_delay
100056,cust7304,True,Fri Mar 01 16:56:00 +0000 2024,"@AmazonHelp defective unit received, order 166613, needs replacement.",100057,,product_defect
100057,115911,False,Fri Mar 01 18:41:00 +0000 2024,"We're sorry to hear that. Please DM your order number and a photo if possible, and we'll get a replacement sent out. ^MN",,100056,product_defect
100058,cust5119,True,Fri Mar 01 17:13:00 +0000 2024,"@AmazonHelp great service today, appreciate the quick help.",100059,,general_praise
100059,115911,False,Fri Mar 01 19:42:00 +0000 2024,"Thank you so much for the kind words, glad we could help! 😊 ^ST",,100058,general_praise
100060,cust2876,True,Fri Mar 01 17:30:00 +0000 2024,"Still no sign of my package, order 855731. @AmazonHelp any update?",100061,,where_is_my_order
100061,115911,False,Fri Mar 01 20:32:00 +0000 2024,"Hi, sorry for the wait! Please send us your order number via DM so we can check the latest tracking status for you. ^AB",,100060,where_is_my_order
100062,cust6573,True,Fri Mar 01 17:47:00 +0000 2024,@AmazonHelp not okay that 905934 was cheaper for Prime members and I wasn't told.,100063,,price_complaint
100063,115911,False,Fri Mar 01 18:23:00 +0000 2024,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,,100062,price_complaint
100064,cust8433,True,Fri Mar 01 18:04:00 +0000 2024,Can someone cancel 265840? @AmazonHelp it hasn't shipped yet I hope.,100065,,order_cancel
