customer_tweet_id,customer_text,brand_tweet_id,brand_reply,created_at,_gold_intent
100000,@AmazonHelp my order 877572 was supposed to arrive yesterday and it's still not here.,100001,We're sorry your delivery is delayed. Could you DM us the order number so we can escalate with the carrier and get you an updated ETA? ^CD,Fri Mar 01 09:00:00 +0000 2024,delivery_delay
100002,"@AmazonHelp I returned item from order 872246 two weeks ago, still no refund.",100003,Sorry for the delay on your refund. Refunds typically take 3-5 business days once processed. Please DM your order number so we can check the status. ^GH,Fri Mar 01 09:17:00 +0000 2024,refund_request
100004,@AmazonHelp why did the price of my item drop $20 right after I bought it (719176)?,100005,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,Fri Mar 01 09:34:00 +0000 2024,price_complaint
100006,Hi @AmazonHelp where is my order #329258? Been waiting 6 days now.,100007,"Hi, sorry for the wait! Please send us your order number via DM so we can check the latest tracking status for you. ^AB",Fri Mar 01 09:51:00 +0000 2024,where_is_my_order
100008,"Just want to say @AmazonHelp support fixed my issue with order 688508 super fast, thank you!",100009,"Thank you so much for the kind words, glad we could help! 😊 ^ST",Fri Mar 01 10:08:00 +0000 2024,general_praise
100010,@AmazonHelp not okay that 331148 was cheaper for Prime members and I wasn't told.,100011,We understand the frustration. Please DM your order number so we can review pricing/eligibility for a price adjustment. ^QR,Fri Mar 01 10:25:00 +0000 2024,price_complaint
100012,"@AmazonHelp I need to cancel order 895667 immediately, ordered by mistake.",100013,We can help with that. Please DM your order number right away — if it hasn't shipped yet we can cancel it for you. ^IJ,Fri Mar 01 10:42:00 +0000 2024,order_cancel
100014,"Product from 391369 stopped working after 2 days, @AmazonHelp this is unacceptable.",100015,"We're sorry to hear that. Please DM your order number and a photo if possible, and we'll get a replacement sent out. ^MN",Fri Mar 01 10:59:00 +0000 2024,product_defect
100016,"@AmazonHelp I can't log into my account, keeps saying invalid password even after reset.",100017,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,Fri Mar 01 11:16:00 +0000 2024,login_account_issue
100018,"@AmazonHelp locked out of my account for no reason, need help asap.",100019,Sorry you're having trouble logging in. Please DM us the email on the account (not the password) so we can look into this securely. ^KL,Fri Mar 01 11:33:00 +0000 2024,login_account_issue
100020,"Still no sign of my package, order 581741. @AmazonHelp any update?",100021,"Hi, sorry for the wait! Please send us your order number via DM so we can check the latest tracking status for you. ^AB",Fri Mar 01 11:50:00 +0000 2024,where_is_my_order
100022,@AmazonHelp the item from order 678856 arrived broken/defective.,100023,"We're sorry to hear that. Please DM your order number and a photo if possible, and we'll get a replacement sent out. ^MN",Fri Mar 01 12:07:00 +0000 2024,product_defect
